Entry	Gene Names (primary)	Gene Names	Mass	Length	Protein names
Q6LZR4	taw2	taw2 MMP0560	29477	253	tRNA(Phe) (4-demethylwyosine(37)-C(7)) aminocarboxypropyltransferase (EC 2.5.1.114) (tRNA wyosine derivatives biosynthesis protein Taw2)
Q6LZT2	serB	serB MMP0541	23347	213	phosphoserine phosphatase (EC 3.1.3.3) (O-phosphoserine phosphohydrolase)
Q6LZT3	purC	purC MMP0540	27763	246	Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase)
Q6LZT4	leuB	leuB MMP0539	35318	330	3-isopropylmalate dehydrogenase (EC 1.1.1.85)
Q6LZT6	nth1	nth1 MMP0537	41262	356	thymine-DNA glycosylase (EC 3.2.2.29)
Q6LZV6		MMP0517	20126	176	Metallo-beta-lactamase domain-containing protein 1 (Endoribonuclease MBLAC1)
Q6LZV7	modD	modD MMP0516	31846	283	Nicotinate-nucleotide pyrophosphorylase [carboxylating] (EC 2.4.2.19) (Quinolinate phosphoribosyltransferase [decarboxylating])
Q6LZW1	fmdB	fmdB MMP0512	49502	445	formylmethanofuran dehydrogenase subunit B (EC 1.2.7.12)
Q6LZW2	fmdB	fmdB MMP0511	48957	443	formylmethanofuran dehydrogenase subunit B (EC 1.2.7.12)
Q6LZW3	fmdC	fmdC MMP0510	44680	415	formylmethanofuran dehydrogenase (EC 1.2.7.12)
Q6LZW9	modC	modC MMP0504	38707	343	Molybdate/tungstate import ATP-binding protein WtpC (EC 7.3.2.6)
Q6LZX7		MMP0496	54375	494	Archaeal glutamate synthase [NADPH] (EC 1.4.1.13)
Q6LZY6		MMP0487	79511	729	Methyl-accepting chemotaxis protein
Q6M016		MMP0457	60653	538	RNA helicase (EC 3.6.4.13)
Q6M020		MMP0453	35961	328	Zinc metalloprotease
Q6M031	rpoE2	rpoE2 spt4 MMP0441	6357	58	Transcription elongation factor Spt4
Q6M052		MMP0419	55106	503	Transporter
Q6M058		MMP0413	78811	731	Methyl-accepting chemotaxis protein
Q6M059		MMP0412	48286	425	tRNA-t(6)A37 methylthiotransferase (EC 2.8.4.5)
Q6M072	htpX	htpX MMP0399	31391	285	Protease HtpX homolog (EC 3.4.24.-)
Q6M073		MMP0398	32090	290	Pantoate kinase (PoK) (EC 2.7.1.169)
Q6M077	hemD	hemD MMP0394	27507	244	Uroporphyrinogen-III synthase (EC 4.2.1.75)
Q6M091	dnaB	dnaB MMP0380	92037	784	DNA polymerase (EC 2.7.7.7)
Q6M097		MMP0374	19949	176	Endoribonuclease Nob1
Q6M0B8		MMP0353	47615	435	UDP-N-acetyl-D-mannosamine dehydrogenase (EC 1.1.1.336) (UDP-ManNAc 6-dehydrogenase)
Q6M0D0	pycA	pycA MMP0341	55613	501	Pyruvate carboxylase subunit A (EC 6.4.1.1) (Pyruvic carboxylase A)
Q6M0D1	pycB	pycB MMP0340	63694	569	Pyruvate carboxylase subunit B (Pyruvic carboxylase B)
Q6M0E8		MMP0323	39564	342	tRNA (guanine(37)-N(1))-methyltransferase (EC 2.1.1.228) (M1G-methyltransferase) (tRNA [GM37] methyltransferase)
Q6M0G1	taw3	taw3 MMP0310	22640	194	tRNA(Phe) 7-((3-amino-3-carboxypropyl)-4-demethylwyosine(37)-N(4))-methyltransferase (EC 2.1.1.282) (tRNA wyosine derivatives biosynthesis protein Taw3)
Q6M0G5		MMP0306	63310	570	2-oxoglutarate synthase subunit KorA (EC 1.2.7.3) (2-ketoglutarate oxidoreductase alpha chain) (2-oxoglutarate-ferredoxin oxidoreductase subunit alpha)
Q6M0G6		MMP0305	31938	286	Oxidoreductase family member subunit beta (EC 1.2.7.-)
Q6M0I8	purE	purE MMP0282	16987	158	N5-carboxyaminoimidazole ribonucleotide mutase (N5-CAIR mutase) (EC 5.4.99.18) (5-(carboxyamino)imidazole ribonucleotide mutase)
Q6M0J1	mptG	mptG MMP0279	35348	325	Beta-ribofuranosylaminobenzene 5'-phosphate synthase (Beta-RFA-P synthase) (EC 2.4.2.54)
Q6M0L2	P1	P1 rpl12 MMP0258	9745	99	Large ribosomal subunit protein P1
Q6M0M7	mptD	mptD MMP0243	14101	124	Dihydroneopterin aldolase (DHNA) (EC 4.1.2.25) (7,8-dihydroneopterin aldolase)
Q6M0P2	nrdD	nrdD MMP0227	87969	770	Anaerobic Ribonucleoside-triphosphate reductase (EC 1.17.4.2)
Q6M0P8	putP	putP MMP0221	53467	492	Sodium/proline symporter
Q6M0Q0	ppaC	ppaC MMP0219	33707	307	inorganic diphosphatase (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase)
Q6M0Q3		MMP0216	75975	691	Cation transport ATPase
Q6M0R2	modC	modC MMP0207	43539	380	Molybdate/tungstate import ATP-binding protein WtpC (EC 7.3.2.6)
Q6M0T1		MMP0188	36031	309	2-(3-amino-3-carboxypropyl)histidine synthase (EC 2.5.1.108)
Q6M0T2		MMP0186	22886	206	L-threonylcarbamoyladenylate synthase (EC 2.7.7.87) (L-threonylcarbamoyladenylate synthase)
Q6M0T8	ribC	ribC MMP0180	17336	156	Riboflavin synthase (EC 2.5.1.9)
Q6M0U9		MMP0169	41781	375	PDZ domain-containing protein
Q6M0V5	arsA	arsA MMP0163	38769	345	Putative arsenical pump-driving ATPase (EC 7.3.2.7) (Arsenical resistance ATPase) (Arsenite-translocating ATPase) (Arsenite-transporting ATPase)
Q6M0V7	comB	comB MMP0161	27648	248	2-phosphosulfolactate phosphatase (EC 3.1.3.71)
Q6M0W2	rps19e	rps19e MMP0156	15601	141	Small ribosomal subunit protein eS19
Q6M0W8		MMP0150	19646	171	16S rRNA aminocarboxypropyltransferase (EC 2.5.1.157)
Q6M0W9		MMP0149	39705	350	tRNA (guanine(10)-N(2))-dimethyltransferase (EC 2.1.1.213) (tRNA:G10 dimethyltransferase)
Q6M0X0	acsA	acsA MMP0148	71808	636	Acetate--CoA ligase (EC 6.2.1.1)
Q6M0X6		MMP0142	55780	501	Thiamine pyrophosphate dependent enzyme related to acetolactate synthase
Q6M0X8		MMP0140	86911	771	Carbamoyltransferase (EC 6.2.-.-)
Q6M0Y1	dys	dys MMP0137	38353	338	Probable deoxyhypusine synthase (DHS) (EC 2.5.1.46)
Q6M0Y2	leuD	leuD MMP0136	18248	167	3-isopropylmalate dehydratase small subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)
Q6M106		MMP0112	49028	426	2,3-bisphosphoglycerate-independent phosphoglycerate mutase 2 (EC 5.4.2.1)
Q6M108		MMP0110	36318	322	Molybdate/tungstate import ATP-binding protein WtpC (EC 7.3.2.6)
Q6M124	pus10	pus10 MMP0094	54488	470	tRNA pseudouridine synthase Pus10 (EC 5.4.99.25) (tRNA pseudouridine 54/55 synthase) (Psi54/55 synthase)
Q6M126	rpoF	rpoF rpo4 MMP0092	12381	107	DNA-directed RNA polymerase subunit Rpo4 (EC 2.7.7.6) (DNA-directed RNA polymerase subunit F)
Q6M129		MMP0089	23267	201	precorrin-2 dehydrogenase (EC 1.3.1.76)
Q6M131	hmgA	hmgA MMP0087	43943	408	3-hydroxy-3-methylglutaryl coenzyme A reductase (HMG-CoA reductase) (EC 1.1.1.34)
Q6M137	gltB	gltB MMP0081	55153	510	Archaeal glutamate synthase [NADPH] (EC 1.4.1.13)
Q6M140		MMP0078	31207	281	4Fe-4S ferredoxin-type domain-containing protein
Q6M152	amtB	amtB MMP0065	41946	408	Ammonium transporter
Q6M159	mer	mer MMP0058	33823	320	5,10-methylenetetrahydromethanopterin reductase (EC 1.5.98.2) (Coenzyme F420-dependent N(5),N(10)-methylenetetrahydromethanopterin reductase) (Methylene-H(4)MPT reductase)
Q6M172	idsA	idsA MMP0045	35802	317	Bifunctional short chain isoprenyl diphosphate synthase (EC 2.5.1.1, EC 2.5.1.10)
Q6M173	rnj	rnj MMP0044	49796	448	Ribonuclease J (RNase J) (EC 3.1.-.-)
Q6M1A5		MMP0011	40463	355	DNA (cytosine-5-)-methyltransferase (EC 2.1.1.37)
Q6M1A7	priL	priL MMP0009	43374	372	DNA primase large subunit PriL
Q6M1B2		MMP0004	35136	298	non-specific serine/threonine protein kinase (EC 2.7.11.1)
Q6M1B3	korA	korA MMP0003	40113	363	2-oxoglutarate synthase subunit KorA (EC 1.2.7.3) (2-ketoglutarate oxidoreductase alpha chain) (2-oxoglutarate-ferredoxin oxidoreductase subunit alpha)
F1SVF5		MMP0229	27161	243	ABC amino acid transport ATP binding protein
Q6LWI8		MMP1721	29319	262	Conserved hypothetical archaeal protein
Q6LWI9		MMP1720	68184	598	Conserved hypothetical archaeal protein
Q6LWJ0		MMP1719	99976	884	Uncharacterized protein
Q6LWJ1		MMP1718	12522	110	Conserved hypothetical archeal protein
Q6LWJ2		MMP1717	41327	360	Possible methyltransferase related protein (EC 2.1.1.-)
Q6LWJ3	hmdII	hmdII MMP1716	36476	341	H(2)-forming methylenetetrahydromethanopterin dehydrogenase related protein
Q6LWJ4		MMP1715	17485	157	Putative GTPase
Q6LWJ5		MMP1714	11959	114	Roadblock/LAMTOR2 domain-containing protein
Q6LWJ6		MMP1713	35362	314	Conserved hypothetical archaeal protein
Q6LWJ7		MMP1712	32941	296	Transcriptional regulator, LysR Family Member
Q6LWJ9		MMP1710	23590	198	Conserved hypothetical archeal protein
Q6LWK5		MMP1704	17122	151	Conserved hypothetical archeal protein
Q6LWK6		MMP1703	34217	298	Conserved hypothetical archaeal protein
Q6LWK8		MMP1701	18058	160	Amino acid-binding ACT
Q6LWK9		MMP1700	57529	533	Na+/solute symporter
Q6LWL0		MMP1699	7198	63	Conserved hypothetical archaeal protein
Q6LWL4	vhuG	vhuG MMP1695	30745	288	F420-non-reducing hydrogenase subunit (EC 1.12.-.-)
Q6LWL5	vhuA	vhuA MMP1694	45597	418	F420-non-reducing hydrogenase subunit alpha (EC 1.12.-.-)
Q6LWL7	vhuB	vhuB MMP1692	41096	383	Polyferredoxin, associated with F420-non-reducing hydrogenase (EC 1.12.-.-)
Q6LWL9		MMP1690	24562	222	Similar to phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase
Q6LWM1		MMP1688	26628	227	Conserved hypothetical Archael protein
Q6LWM2	korD	korD MMP1687	7709	68	2-oxoglutarate ferredoxin oxidoreductase, delta (Ferredoxin) subunit (EC 1.2.7.3)
Q6LWM5		MMP1684	25803	227	Calcineurin-like phosphoesterase domain-containing protein
Q6LWM6		MMP1683	24678	213	Uncharacterized protein
Q6LWM7	recJ	recJ MMP1682	53001	467	Single stranded DNA-specific exonuclease (EC 3.1.-.-)
Q6LWM8		MMP1681	50764	428	Phosphoadenosine phosphosulfate reductase
Q6LWN1	nfo	nfo MMP1678	30871	273	Endonuclease IV (EC 3.1.21.2)
Q6LWN3	flaJ	flaJ MMP1676	63047	558	Flagella accessory protein J
Q6LWN4	flaI	flaI MMP1675	62413	546	Flagella accessory protein I
Q6LWN5	flaH	flaH MMP1674	25770	230	Flagella accessory protein H
Q6LWN6	flaG	flaG MMP1673	15818	150	Flagella accessory protein G
Q6LWN7	flaF	flaF MMP1672	14037	125	Flagella accessory protein F
Q6LWN8	flaE	flaE MMP1671	15242	135	Flagella accessory protein E
Q6LWN9	flaD	flaD MMP1670	36979	322	Flagella accessory protein D
Q6LWP0	flaC	flaC MMP1669	21320	186	Flagella accessory protein C
Q6LWP4		MMP1665	71577	621	Uncharacterized protein
Q6LWP5		MMP1664	33792	298	Coenzyme F420:L-glutamate ligase-like domain-containing protein
Q6LWP7	cbiF	cbiF MMP1662	27625	254	Precorrin-4 C11-methyltransferase (EC 2.1.1.133)
Q6LWP8		MMP1661	7773	65	Uncharacterized protein
Q6LWP9		MMP1660	13322	119	Conserved hypothetical archeal protein
Q6LWQ1		MMP1657	44282	390	N(4)-bis(aminopropyl)spermidine synthase C-terminal domain-containing protein
Q6LWQ2		MMP1655	69756	591	Uncharacterized protein
Q6LWQ3		MMP1654	51992	446	Uncharacterized protein
Q6LWQ4		MMP1653	121757	1036	Uncharacterized protein
Q6LWQ6	modA	modA MMP1651	28830	267	Periplasmic molybdate-binding protein
Q6LWQ7		MMP1650	28746	260	Probable amino acid ABC transporter, periplasmic component
Q6LWQ9		MMP1648	42880	396	Phytoene dehydrogenase-like protein
Q6LWR1		MMP1646	18319	158	Conserved hypothetical archaeal protein
Q6LWR3		MMP1644	30954	283	Conserved hypothetical archaeal protein
Q6LWR4		MMP1643	14395	129	Cell division protein SepF
Q6LWR5		MMP1642	20870	184	ATP/GTP-binding site motif A (P-loop):Small GTP-binding protein domain
Q6LWR6		MMP1641	29722	268	Soluble P-type ATPase (EC 3.6.3.-)
Q6LWR7		MMP1639	45193	400	Acyl-CoA dehydrogenase (EC 2.7.4.7)
Q6LWR8		MMP1638	32585	287	MoaA/nifB/pqqE family
Q6LWR9		MMP1637	25027	230	Conserved hypothetical archaeal protein
Q6LWS0		MMP1636	49658	460	General substrate transporter
Q6LWS1		MMP1635	8633	80	Thioredoxin:Glutaredoxin:Thioredoxins/glutaredoxi n
Q6LWS2		MMP1634	31179	286	UPF0033 domain-containing protein
Q6LWS3		MMP1633	11946	109	Conserved hypothetical archaeal protein
Q6LWS4	yqiX	yqiX MMP1632	26753	240	Solute-binding protein/glutamate receptor:Bacterial extracellular solute-binding protein, family 3
Q6LWS5		MMP1631	22352	194	PA-phosphatase related phosphoesterase
Q6LWS6		MMP1630	61495	549	ATP/GTP-binding site motif A (P-loop):ABC transporter:AAA ATPase (EC 1.8.-.-)
Q6LWS7	ehbE	ehbE MMP1629	12699	118	NADH-ubiquinone oxidoreductase chain 4L
Q6LWS8	ehbF	ehbF MMP1628	51945	482	Energy conserving hydrogenase B putative transmembrane subunit
Q6LWS9	ehbG	ehbG MMP1627	11695	102	MJ1308 domain-containing protein
Q6LWT0		MMP1626	27605	253	Na+/H+ antiporter MnhB subunit-related protein domain-containing protein
Q6LWT1	ehbJ	ehbJ MMP1625	9336	86	Energy-converting hydrogenase B subunit J
Q6LWT2	ehbK	ehbK MMP1624	53758	481	Polyferredoxin
Q6LWT3	ehbL	ehbL MMP1623	19054	170	Ferredoxin
Q6LWT4	ehbM	ehbM MMP1622	15677	147	Energy conserving hydrogenase B small subunit (EC 1.6.5.3)
Q6LWT5	ehbO	ehbO MMP1621	36745	331	Energy conserving hydrogenase B integral membrane subunit (EC 1.6.5.3)
Q6LWT6		MMP1620	10957	97	Uncharacterized protein
Q6LWT7		MMP1619	45101	402	Molybdenum cofactor biosynthesis protein:MoeA N-terminal region, domain I and II:MoeA C-terminal, domain IV
Q6LWT9		MMP1617	9225	87	Ca2+/H+ antiporter (TMEM165/GDT1 family)
Q6LWU1		MMP1615	10635	99	MIP18 family-like domain-containing protein
Q6LWU2		MMP1612	26156	225	non-specific serine/threonine protein kinase (EC 2.7.11.1)
Q6LWU3		MMP1611	27504	250	Proteasome assembly chaperone family protein
Q6LWU4		MMP1610	25916	224	Uncharacterized protein
Q6LWU6		MMP1608	11761	102	Rubrerythrin diiron-binding domain-containing protein
Q6LWU7		MMP1607	21012	183	UPF0215 protein MMP1607
Q6LWV0		MMP1604	32356	289	MFS family permease
Q6LWV1		MMP1603	43178	388	Ferredoxin
Q6LWV2		MMP1602	8757	75	Uncharacterized protein
Q6LWV3		MMP1601	29074	260	Putative RNA methylase
Q6LWV4		MMP1600	30964	268	Ribosomal protein S6 modification enzyme (Glutaminyl transferase) related
Q6LWV5	trkA	trkA MMP1599	23861	221	Trk system potassium uptake protein A
Q6LWV6		MMP1598	21788	184	DUF483 domain-containing protein
Q6LWV7		MMP1597	18817	169	YutG/PgpA domain-containing protein
Q6LWV8		MMP1596	24611	212	Conserved Hypothetical Archael protein
Q6LWV9		MMP1595	61547	538	ATP/GTP-binding site motif A (P-loop):PUA domain:Queuine/other tRNA-ribosyltransferase:Uncharacterized domain 2
Q6LWW0		MMP1594	21670	180	Uncharacterized protein
Q6LWW1		MMP1593	33129	301	TiaS-like TCKD domain-containing protein
Q6LWW3	cbiG	cbiG MMP1591	36935	323	Cobalamin (Vitamin B12) biosynthesis CbiG protein
Q6LWW4		MMP1590	29773	261	ExsB family protein
Q6LWW7		MMP1587	14486	137	Conserved hypothetical archaeal protein
Q6LWW8		MMP1586	9032	80	Conserved hypothetical archaeal protein
Q6LWW9		MMP1585	32045	282	Arginase (EC 3.5.3.11)
Q6LWX3		MMP1581	72758	633	Putative DNA helicase
Q6LWX4		MMP1580	59724	523	Dihydropteroate synthase, DHPS:Dihydropteroate synthase-related protein synthase-related protein
Q6LWX8		MMP1576	5875	51	Uncharacterized protein
Q6LWY0	bioF	bioF MMP1574	41176	370	8-amino-7-oxononanoate synthase (EC 2.3.1.47)
Q6LWY2		MMP1572	11739	98	Uncharacterized protein
Q6LWY3		MMP1571	36820	333	Conserved hypothetical archaeal protein
Q6LWY4		MMP1570	29184	251	TatD-related protein
Q6LWY5		MMP1569	14480	128	Conserved hypothetical archaeal protein
Q6LWY6		MMP1568	20437	177	Conserved hypothetical archaeal protein
Q6LWZ7	mcrC	mcrC MMP1557	21354	198	Methyl-coenzyme M reductase operon protein C
Q6LWZ8	mcrD	mcrD MMP1556	18083	159	Methyl-coenzyme M reductase I, protein D
Q6LX00		MMP1554	48902	436	Conserved hypothetical archaeal protein
Q6LX01	rdxA	rdxA MMP1553	22562	200	Nitroreductase family
Q6LX05		MMP1549	30114	268	AP endonuclease, family 2
Q6LX06		MMP1548	20904	190	Fe-S type hydro-lyases tartrate/fumarate beta region (EC 4.2.1.2)
Q6LX11		MMP1542	23637	196	Translin related protein
Q6LX12		MMP1541	11442	105	Conserved hypothetical archaeal protein
Q6LX13		MMP1540	29911	273	Conserved hypothetical Archael protein
Q6LX14		MMP1539	20614	186	Uncharacterized protein
Q6LX15		MMP1538	16290	156	Predicted transporter component
Q6LX16		MMP1537	15799	151	Cytochrome c heme-binding site
Q6LX17		MMP1536	23501	203	Conserved hypothetical archaeal protein
Q6LX18		MMP1535	44299	398	Conserved hypothetical archaeal protein
Q6LX19		MMP1534	15192	129	Adenylate kinase
Q6LX20		MMP1533	17618	150	Conserved hypothetical Archael protein
Q6LX22		MMP1531	35504	323	Methanogenesis marker protein 2
Q6LX23		MMP1530	11097	96	Uncharacterized protein
Q6LX24		MMP1529	28054	236	Conserved hypothetical archaeal protein
Q6LX25	pheA	pheA MMP1528	30315	268	Prephenate dehydratase (EC 4.2.1.51)
Q6LX28		MMP1525	47007	420	Modulator of DNA gyrase
Q6LX31		MMP1522	38244	340	Conserved hypothetical archaeal protein
Q6LX32		MMP1521	15946	142	Conserved hypothetical archaeal protein
Q6LX33		MMP1520	24849	224	ATP/GTP-binding site motif A (P-loop):HypB/UreG, nucleotide-binding:Hydrogenase accessory protein HypB
Q6LX37		MMP1516	26040	222	Conserved hypothetical archaeal protein
Q6LX39	tyrA	tyrA MMP1514	50037	440	Prephenate dehydrogenase (EC 1.3.1.12)
Q6LX44		MMP1508	11427	101	DUF357 domain-containing protein
Q6LX48	porB	porB MMP1504	32391	298	Pyruvate oxidoreductase (Synthase) subunit beta (EC 1.2.7.1)
Q6LX49	porE	porE MMP1503	18065	167	Conserved archaeal protein, pyruvate oxidoreductase-associated
Q6LX51		MMP1501	18745	163	Phosphoesterase (EC 3.1.4.-)
Q6LX53		MMP1499	18994	170	Conserved hypothetical archaeal protein
Q6LX57		MMP1495	38742	332	Radical SAM core domain-containing protein
Q6LX58		MMP1494	23144	204	DUF366 family protein
Q6LX59		MMP1493	50225	447	S-layer protein outer domain-containing protein
Q6LX64		MMP1488	49755	458	Modulator of DNA gyrase
Q6LX66		MMP1486	28939	267	Putative mechanosensitive ion channel
Q6LX67	moaB	moaB MMP1485	17847	161	Molybdenum cofactor biosynthesis protein
Q6LX69	cbiQ	cbiQ MMP1483	29216	257	Cobalt transport protein Q
Q6LX74	cbiA	cbiA MMP1478	39413	349	Cobyrinic acid a,c-diamide synthase:Cobyrinic acid a,c-diamide synthase CbiA
Q6LX75	cbiA	cbiA MMP1477	14690	131	Cobyrinic acid a,c-diamide synthase
Q6LX76		MMP1476	28152	245	Conserved hypothetical archaeal protein
Q6LX77		MMP1475	31369	277	Uncharacterized protein
Q6LX79		MMP1473	14511	126	DUF356 domain-containing protein
Q6LX83	ehbA	ehbA MMP1469	11181	100	Cation antiporter
Q6LX85	ehaT	ehaT MMP1467	15493	131	Helix-turn-helix type 11 domain-containing protein
Q6LX86	ehaS	ehaS MMP1466	23891	213	CBS domain-containing protein
Q6LX87	ehaR	ehaR MMP1465	28164	252	4Fe-4S ferredoxin-type domain-containing protein
Q6LX88	ehaQ	ehaQ MMP1464	18332	161	4Fe-4S ferredoxin-type domain-containing protein
Q6LX89	ehaP	ehaP MMP1463	44349	393	Polyferredoxin
Q6LX91	ehaN	ehaN MMP1461	16911	156	Energy conserving hydrogenase A small subunit (EC 1.6.5.3)
Q6LX92	ehaM	ehaM MMP1460	15614	136	Energy-converting hydrogenase A subunit M
Q6LX93	ehaL	ehaL MMP1459	10669	99	Energy-converting hydrogenase A subunit L
Q6LX94	ehaK	ehaK MMP1458	9264	83	Energy-converting hydrogenase A subunit K
Q6LX95	ehaJ	ehaJ MMP1457	31826	292	Energy conserving hydrogenase A integral membrane subunit
Q6LX96	ehaI	ehaI MMP1456	7802	69	Energy-converting hydrogenase A subunit I
Q6LX97	ehaH	ehaH MMP1455	24137	220	Putative transmembrane subunit of a hydrogenase
Q6LX98	ehaG	ehaG MMP1454	25002	228	Energy-converting hydrogenase A subunit G
Q6LX99	ehaF	ehaF MMP1453	17589	157	Energy-converting hydrogenase A subunit F
Q6LXA0	ehaE	ehaE MMP1452	9299	84	Energy-converting hydrogenase A subunit E
Q6LXA1	ehaD	ehaD MMP1451	10053	92	Energy-converting hydrogenase A subunit D
Q6LXA2	ehaC	ehaC MMP1450	9489	88	Energy-converting hydrogenase A subunit C
Q6LXA3	ehaB	ehaB MMP1449	17308	163	Energy-converting hydrogenase A subunit B
Q6LXA5		MMP1447	24729	212	Cro repressor family Helix-turn-helix motif containing protein
Q6LXA6		MMP1446	21393	190	Zn-finger, ZPR1 type:Zn-finger, ZPR1-related type
Q6LXA9		MMP1443	41142	374	GTP1/OBG family:ATP/GTP-binding site motif A (P-loop):TGS domain:Small GTP-binding protein domain
Q6LXB0		MMP1442	11033	95	ArsR family transcriptional regulator
Q6LXB1	mobB	mobB MMP1441	25114	229	ATP/GTP-binding site motif A (P-loop):Molybdopterin-guanine dinucleotide biosynthesis protein
Q6LXB4		MMP1438	43129	387	SCP domain-containing protein
Q6LXC2		MMP1430	52869	478	Putative TRK system cation (K+) uptake protein
Q6LXC4		MMP1428	5676	53	Preprotein translocase subunit SecG
Q6LXC9		MMP1423	33369	299	Putative glycosyl transferase, family 4:Aldehyde dehydrogenase
Q6LXE9		MMP1402	8002	69	Uncharacterized protein
Q6LXF1		MMP1400	5919	54	Ribosomal protein aS21 zinc-binding pocket domain-containing protein
Q6LXF2		MMP1399	23331	212	Aspartate/glutamate/uridylate kinase
Q6LXF5		MMP1396	49488	434	Aminotransferase (Subgroup I) (EC 2.6.1.-)
Q6LXF8		MMP1393	15454	138	DUF371 domain-containing protein
Q6LXG1		MMP1390	6444	56	Conserved hypothetical archaeal protein
Q6LXG2		MMP1389	43154	382	Major facilitator superfamily (MFS) profile domain-containing protein
Q6LXG3		MMP1388	9187	81	Thioredoxin
Q6LXG5		MMP1386	37116	335	Hydrophobic protein (TIGR00341 family)
Q6LXG8	fruD	fruD MMP1383	22062	196	Coenzyme F420-reducing hydrogenase delta subunit (EC 1.12.98.1)
Q6LXH0		MMP1381	46853	422	Beta-lactamase-like:ATP/GTP-binding site motif A (P-loop)
Q6LXH1		MMP1380	41364	372	Chlorohydrolase
Q6LXH3		MMP1378	6661	58	Uncharacterized protein
Q6LXH4		MMP1377	41104	355	Transglutaminase-like domain-containing protein
Q6LXH5		MMP1376	9107	80	Phage shock protein PspC N-terminal domain-containing protein
Q6LXH6		MMP1375	32587	292	SAM (And some other nucleotide) binding motif (EC 2.1.1.77)
Q6LXH9	manB	manB MMP1372	49998	437	Phosphoglucomutase/phosphomannomutase (EC 5.4.2.8)
Q6LXJ1		MMP1359	55634	513	CBS domain-containing protein
Q6LXJ2		MMP1358	14788	132	Ferredoxin
Q6LXJ3		MMP1357	9511	84	ThiamineS
Q6LXJ5		MMP1355	25779	226	Bacterial transferase hexapeptide repeat (EC 2.3.1.28)
Q6LXJ7		MMP1353	37170	324	tRNA(Ile)-lysidine/2-thiocytidine synthase N-terminal domain-containing protein
Q6LXJ9		MMP1351	19184	161	N-acetyltransferase domain-containing protein
Q6LXK0		MMP1350	49237	437	Radical SAM core domain-containing protein
Q6LXK3	HMmB	HMmB MMP1347	7015	66	Archaeal histone B
Q6LXK4		MMP1346	27443	243	Basic helix-loop-helix dimerization domain bHLH
Q6LXK6		MMP1344	17856	158	PrcB C-terminal domain-containing protein
Q6LXK7		MMP1343	29829	266	Metallo-beta-lactamase domain-containing protein
Q6LXK8		MMP1342	15298	131	PIN domain-containing protein
Q6LXL1		MMP1339	29825	264	SAM (And some other nucleotide) binding motif
Q6LXL2		MMP1338	7465	64	Uncharacterized protein
Q6LXL3		MMP1337	17712	160	Hydrogenase maturation protease, related
Q6LXL6		MMP1334	44053	384	Solute-binding protein/glutamate receptor:ATP/GTP-binding site motif A (P-loop):GTP-binding protein, HSR1-related:GTP-binding
Q6LXL8		MMP1332	43811	384	NAD binding site:FAD-dependent pyridine nucleotide-disulphide oxidoreductase (EC 1.8.1.4)
Q6LXL9		MMP1331	17357	157	VTT domain-containing protein
Q6LXM0		MMP1330	9871	88	Hydrogenase expression/formation protein (HUPF/HYPC)
Q6LXM1		MMP1329	6777	62	Ferredoxin
Q6LXM2		MMP1328	34532	311	Enolase
Q6LXM3	rpoK	rpoK MMP1327	6186	57	DNA-directed RNA polymerase, subunit K (EC 2.7.7.6)
Q6LXN2		MMP1317	29162	258	MJ0538 domain-containing protein
Q6LXN3	korB	korB MMP1316	29266	265	2-oxoglutarate oxidoreductase beta subunit (EC 1.2.7.3)
Q6LXN4	korG	korG MMP1315	19312	177	2-oxoglutarate oxidoreductase gamma subunit (EC 1.2.7.3)
Q6LXN5		MMP1314	85439	761	Phosphoesterase, RecJ-like:RNA binding S1:OB-fold nucleic acid binding domain Related protein
Q6LXN7		MMP1312	24098	208	Uncharacterized protein
Q6LXN8		MMP1311	5436	52	Ferredoxin
Q6LXP0		MMP1309	23648	203	Conserved hypothetical archaeal protein
Q6LXP2		MMP1307	43441	380	Methyltransferase related protein
Q6LXP4		MMP1305	51656	467	FIST N domain protein
Q6LXP5		MMP1304	13592	119	Response regulator receiver
Q6LXP7		MMP1302	8592	81	Selenium-binding protein
Q6LXP8	fdhC	fdhC MMP1301	28762	274	Formate transporter
Q6LXP9		MMP1300	20151	177	Uncharacterized protein
Q6LXQ0		MMP1299	16487	150	Carbonic anhydrase (EC 4.2.1.1)
Q6LXQ5	glgA	glgA MMP1294	59635	522	starch synthase (EC 2.4.1.21)
Q6LXQ6		MMP1293	44262	391	Glycosyl transferase, group 1
Q6LXQ7		MMP1292	71262	621	Glucan 1,4-alpha-glucosidase (Glucoamylase) (EC 3.2.1.3)
Q6LXQ8		MMP1291	48482	407	Glycoside hydrolase, family 57 (EC 3.2.1.1)
Q6LXR2		MMP1287	11352	97	Metal-binding protein
Q6LXR4		MMP1285	31251	266	Conserved hypothetical archaeal protein
Q6LXR5		MMP1284	92330	811	DEAD/DEAH box helicase:Helicase, C-terminal
Q6LXR8		MMP1281	19535	168	GCN5-related N-acetyltransferase
Q6LXR9		MMP1280	13338	112	DMT family protein
Q6LXS0		MMP1278	12354	109	Uncharacterized protein
